3247,48;1;2;3;1;196;0;0;4;19;18;0;0;0;-6,005859375;-18,8526313;37,99993808;1,33912128;2340;-1,5;0;0;0;0;0;0
3247,49;1;2;3;1;196;0;0;5;20;18;0;0;0;-6,005859375;-18,85264239;38,0000395;1,339121213;2340;-1,1;0;0;0;0;0;0
3247,5;1;2;3;1;196;0;0;4;20;18;0;0;0;-6,005859375;-18,85265249;38,00013863;1,33912106;2340;-0,6;0;0;0;0;0;0
3247,51;1;2;2;0;196;0;0;4;19;18;0;0;0;-6,005859375;-18,85266246;38,00023975;1,339120466;2340;-1,5;0;0;0;0;0;0
3247,52;1;2;2;0;196;0;0;3;18;17;0;0;0;-6,005859375;-18,8526761;38,00034034;1,339120336;2340;-1,5;0;0;0;0;0;0
3247,53;1;2;2;1;197;1;1;4;20;18;0;0;0;-6,005859375;-18,85268686;38,00044205;1,339120409;2340;-1,3;0;0;0;0;0;0
3247,54;2;2;3;1;197;1;1;5;20;19;0;0;0;-6,005859375;-18,85269513;38,00054255;1,339120445;2340;-1,5;0;0;0;0;0;0
3247,55;2;2;3;1;197;1;1;5;20;19;0;0;0;-6,005859375;-18,85270517;38,00064283;1,339120255;2340;-1,5;0;0;0;0;0;0
3247,56;1;2;3;1;197;0;1;4;19;18;0;0;0;-6,005859375;-18,8527175;38,0007433;1,339120046;2340;-1,7;0;0;0;0;0;0
3247,57;1;1;3;0;196;0;0;3;19;18;0;0;0;-6,005859375;-18,85272873;38,0008439;1,339120005;2340;-1,3;0;0;0;0;0;0
3247,58;1;1;3;1;196;0;0;3;20;19;0;0;0;-6,005859375;-18,85273783;38,00094483;1,339119998;2340;-1,7;0;0;0;0;0;0
3247,59;2;1;2;1;196;0;0;4;19;18;0;0;0;-6,005859375;-18,85274802;38,00104694;1,339119923;2340;-1,3;0;0;0;0;0;0
3247,6;1;1;2;1;196;0;0;4;19;18;0;0;0;-6,005859375;-18,85275984;38,00114805;1,339119911;2340;-1,3;0;0;0;0;0;0
3247,61;1;1;2;1;196;1;1;4;19;18;0;0;0;-6,005859375;-18,85277;38,0012475;1,339119901;2340;-1,3;0;0;0;0;0;0
3247,62;1;1;2;1;196;1;1;5;19;18;0;0;0;-6,005859375;-18,85277901;38,0013464;1,339119711;2340;-1,1;0;0;0;0;0;0
3247,63;1;2;2;2;197;1;1;5;20;19;0;0;0;-6,005859375;-18,85279159;38,00145177;1,339119415;2340;-1,3;0;0;0;0;0;0
